,學年度,學校代碼,學校名稱,項目,累積餘絀比率(%),資產效益率(%),學雜費收入變動率(%),現金流量比率(%),速動比率(%),負債變動率(%),舉債指數
,101,1001,東海大學,燈號,●,●,●,●,●,●,
,,,,比值,87,3.24,-0.76,99.54,373.52,12.83,0
,101,1002,輔仁大學,燈號,●,●,●,●,●,●,
,,,,比值,93.44,1.28,0.09,100.69,1076.7,25.35,0
,101,1003,東吳大學,燈號,●,●,●,●,●,●,
,,,,比值,88.43,0.25,-0.81,83.46,420.89,-5.03,0
,101,1004,中原大學,燈號,●,●,●,●,●,●,
,,,,比值,94.29,-0.02,0.59,85.45,430.51,-5.48,0
,101,1005,淡江大學,燈號,●,●,●,●,●,●,
,,,,比值,63.35,1.24,-0.8,42.4,126.01,4.5,0
,101,1006,中國文化大學,燈號,●,●,●,●,●,●,
,,,,比值,82.43,0.56,-0.26,199.4,1230.6,-4.01,0
,101,1007,逢甲大學,燈號,●,●,●,●,●,●,
,,,,比值,79.77,1.32,0.68,60.86,464.43,-12.05,0
,101,1008,靜宜大學,燈號,●,●,●,●,●,●,
,,,,比值,95.34,0.8,0.67,142.21,1469.43,-10.79,0
,101,1009,長庚大學,燈號,●,●,●,●,●,●,
,,,,比值,41.31,-0.41,0.26,252.89,832.96,-8.94,0
,101,1010,元智大學,燈號,●,●,●,●,●,●,
,,,,比值,83.47,1.99,0.24,142.46,241.45,-13.01,0
,101,1011,中華大學,燈號,●,●,●,●,●,●,
,,,,比值,85.75,0.68,0.03,68.69,287.14,0.38,0
,101,1012,大葉大學,燈號,●,●,●,●,●,●,
,,,,比值,91.87,0.78,3.47,84.33,372.38,18.89,0
,101,1013,華梵大學,燈號,●,●,●,●,●,●,
,,,,比值,75.72,-1.05,-3.12,10.51,799.17,-9.09,0
,101,1014,義守大學,燈號,●,●,●,●,●,●,
,,,,比值,72.5,1.66,1.72,41.29,56.42,-1.56,4.74
,101,1015,世新大學,燈號,●,●,●,●,●,●,
,,,,比值,82.65,-0.13,0.33,80.24,157.19,16.28,0
,101,1016,銘傳大學,燈號,●,●,●,●,●,●,
,,,,比值,89.76,2.92,0.82,166.93,308.29,-20.96,0
,101,1017,實踐大學,燈號,●,●,●,●,●,●,
,,,,比值,88.72,1.57,0.34,77.69,163.97,0.57,0
,101,1018,朝陽科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.97,5.24,1.94,112.28,301.13,-27.42,0
,101,1019,高雄醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,90.75,3.51,-1.31,-0.25,85.39,-14.42,0
,101,1020,南華大學,燈號,●,●,●,●,●,●,
,,,,比值,91.53,-2.68,-3.36,49,156.89,28.09,0
,101,1021,真理大學,燈號,●,●,●,●,●,●,
,,,,比值,69.37,0.08,-1.98,62.19,15.59,-9.75,5.94
,101,1022,大同大學,燈號,●,●,●,●,●,●,
,,,,比值,90.17,0.27,0.3,44.73,33.37,-18.85,0
,101,1023,南臺科技大學,燈號,●,●,●,●,●,●,
